City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
11,Rikitea,PF,75.07,light rain,-23.1203,-134.9692,People ThankYou
12,Meulaboh,ID,80.73,overcast clouds,4.1363,96.1285,Kost Pria
26,Hilo,US,80.33,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
31,Hervey Bay,AU,81.03,few clouds,-25.2986,152.8535,Shelly Bay Resort
32,Hobart,AU,75.06,light rain,-42.8794,147.3294,Mantra on Collins Hobart
34,Avarua,CK,78.85,overcast clouds,-21.2078,-159.775,Paradise Inn
37,Butaritari,KI,82.38,broken clouds,3.0707,172.7902,Isles Sunset Lodge
43,Santa Marta,CO,80.65,few clouds,11.2408,-74.199,Casa de Isabella
45,Bambous Virieux,MU,75.22,broken clouds,-20.3428,57.7575,Casa Tia Villa
48,Sur,OM,75.76,clear sky,22.5667,59.5289,Sur Plaza Hotel
51,Gayeri,BF,80.83,scattered clouds,12.6497,0.4931,
52,Vaini,TO,82.56,scattered clouds,-21.2,-175.2,Keleti Beach Resort
54,Francistown,BW,78.06,overcast clouds,-21.17,27.5079,Budget House
55,Yeppoon,AU,83.98,few clouds,-23.1333,150.7333,Villa Mar Colina
57,Kahului,US,84.22,few clouds,20.8947,-156.47,Maui Seaside Hotel
58,Hithadhoo,MV,79.21,very heavy rain,-0.6,73.0833,Scoop Guest House
73,Kapaa,US,82.38,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
75,Georgetown,MY,86.9,few clouds,5.4112,100.3354,Cititel Penang
79,Lorengau,PG,86.0,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
80,Gorontalo,ID,88.75,broken clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
82,Macapa,BR,84.18,few clouds,0.0389,-51.0664,Atalanta Hotel
87,Bowen,AU,86.22,few clouds,-20.0167,148.2333,Castle Motor Lodge Motel
89,Malpe,IN,76.3,overcast clouds,13.35,74.7167,Hotel Sri Krishna Residency
94,Galle,LK,82.65,scattered clouds,6.0367,80.217,Amangalla
96,Dingle,PH,86.7,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
99,Japura,ID,85.55,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
104,Caravelas,BR,75.36,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
107,Goundam,ML,83.08,few clouds,16.4145,-3.6708,
108,Benoy,TD,75.07,overcast clouds,8.9833,16.3199,
112,Atuona,PF,78.35,clear sky,-9.8,-139.0333,Villa Enata
115,Cabo San Lucas,MX,79.52,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
116,Padang,ID,80.65,overcast clouds,-0.9492,100.3543,Mercure Padang
119,Mangrol,IN,78.91,broken clouds,21.1167,70.1167,Hotel The Royal Honours
121,Tecoanapa,MX,79.72,overcast clouds,16.5167,-98.75,Hotel Manglares
122,Acajutla,SV,78.66,broken clouds,13.5928,-89.8275,asi es
126,Hambantota,LK,80.94,few clouds,6.1241,81.1185,Bungalow 63
127,The Valley,AI,82.26,clear sky,18.217,-63.0578,CeBlue Villas & Beach Resort
135,Nishihara,JP,75.25,thunderstorm,26.1842,127.7558,Minshuku Agaihama
139,Kuching,MY,88.02,scattered clouds,1.55,110.3333,The Ranee Boutique Suites
146,Bonthe,SL,79.34,clear sky,7.5264,-12.505,Bonthe Holiday Village
152,Bengkulu,ID,77.5,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
154,Bonfim,BR,80.65,scattered clouds,3.0833,-59.95,
156,Manokwari,ID,85.01,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
160,Bubaque,GW,83.53,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
168,Bali,ID,85.23,overcast clouds,-8.5,115.0,"Pondok Pitaya: Hotel, Surfing and Yoga"
171,Cabatuan,PH,86.81,overcast clouds,10.8794,122.486,MVC Transient Room
178,Porto Velho,BR,75.25,moderate rain,-8.7619,-63.9039,Hotel Central
180,Port Blair,IN,83.32,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
184,Broken Hill,AU,89.31,scattered clouds,-31.95,141.4333,Royal Exchange Hotel
195,Cayenne,GF,77.04,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
200,Quatre Cocos,MU,75.09,clear sky,-20.2078,57.7625,Sunrise Attitude Hotel
203,Caldas Novas,BR,78.13,overcast clouds,-17.7417,-48.625,Best Western Suites Le Jardin Caldas Novas
206,Bokoro,TD,81.82,few clouds,12.3807,17.0568,
210,Nueva Concepcion,GT,80.17,overcast clouds,14.2,-91.3,Hotel Villa Las Flores
215,Sao Filipe,CV,78.91,scattered clouds,14.8961,-24.4956,Hotel Xaguate
225,Tilik,PH,83.01,overcast clouds,13.8144,120.2002,Precila's Haven
240,Soe,ID,88.39,broken clouds,-9.8607,124.284,Dena Hotel
241,Acarau,BR,79.29,overcast clouds,-2.8856,-40.12,castelo pizzaria
