City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Mataura,NZ,-46.1927,168.8643,72.93,33,100,2.62,overcast clouds
1,Longyearbyen,SJ,78.2186,15.6401,8.46,88,87,1.86,overcast clouds
2,Broome,US,42.2506,-75.833,35.55,70,8,3.0,clear sky
3,Senanga,ZM,-16.1167,23.2667,73.26,54,83,4.29,broken clouds
4,Hermanus,ZA,-34.4187,19.2345,55.9,76,11,5.01,few clouds
5,Iqaluit,CA,63.7506,-68.5145,11.93,78,40,3.0,scattered clouds
6,Cape Town,ZA,-33.9258,18.4232,56.12,82,40,3.44,scattered clouds
7,Saint-Philippe,RE,-21.3585,55.7679,73.22,73,0,6.06,clear sky
8,Constitucion,CL,-35.3333,-72.4167,50.83,89,1,2.73,clear sky
9,Kaeo,NZ,-35.1,173.7833,63.12,90,59,3.53,broken clouds
10,Toftlund,DK,55.1886,9.0693,51.49,87,75,12.66,broken clouds
11,Rikitea,PF,-23.1203,-134.9692,75.07,81,54,11.45,light rain
12,Meulaboh,ID,4.1363,96.1285,80.73,80,100,5.73,overcast clouds
13,Kodiak,US,57.79,-152.4072,34.75,80,99,7.0,overcast clouds
14,Tuatapere,NZ,-46.1333,167.6833,67.68,47,84,4.7,broken clouds
15,Ushuaia,AR,-54.8,-68.3,51.46,46,40,17.27,scattered clouds
16,Abu Kamal,SY,34.4506,40.9171,64.89,43,0,1.72,clear sky
17,Punta Arenas,CL,-53.15,-70.9167,50.11,66,75,20.71,broken clouds
18,Menongue,AO,-14.6585,17.691,62.4,85,34,3.42,light rain
19,East London,ZA,-33.0153,27.9116,64.54,85,100,10.83,light rain
20,Bredasdorp,ZA,-34.5322,20.0403,45.72,93,19,3.44,few clouds
21,Leningradskiy,RU,69.3833,178.4167,-12.06,95,21,5.39,few clouds
22,Cherskiy,RU,68.75,161.3,1.02,89,81,9.44,broken clouds
23,Puerto Ayora,EC,-0.7393,-90.3518,69.42,75,100,9.31,overcast clouds
24,Ilula,TZ,-7.6766,36.0366,61.09,76,55,3.04,broken clouds
25,Saldanha,ZA,-33.0117,17.9442,50.05,68,64,12.95,broken clouds
26,Hilo,US,19.7297,-155.09,80.33,74,1,8.05,clear sky
27,Port-Cartier,CA,50.0334,-66.8654,34.75,68,19,9.42,few clouds
28,Mar Del Plata,AR,-38.0023,-57.5575,54.88,74,0,1.99,clear sky
29,Khuzhir,RU,53.1939,107.3397,23.47,48,25,8.08,scattered clouds
30,Floresti,MD,47.8933,28.3014,51.85,66,92,12.86,overcast clouds
31,Hervey Bay,AU,-25.2986,152.8535,81.03,66,23,8.99,few clouds
32,Hobart,AU,-42.8794,147.3294,75.06,59,75,3.0,light rain
33,Lebu,CL,-37.6167,-73.65,51.94,91,1,15.43,clear sky
34,Avarua,CK,-21.2078,-159.775,78.85,61,91,12.66,overcast clouds
35,Jamestown,US,42.097,-79.2353,36.72,82,1,4.61,clear sky
36,Kruisfontein,ZA,-34.0033,24.7314,56.91,83,100,3.83,overcast clouds
37,Butaritari,KI,3.0707,172.7902,82.38,71,61,12.59,broken clouds
38,Pisco,PE,-13.7,-76.2167,62.65,82,0,3.44,clear sky
39,Kushiro,JP,42.975,144.3747,47.35,76,75,2.3,broken clouds
40,Saskylakh,RU,71.9167,114.0833,-3.03,91,90,17.65,overcast clouds
41,Lompoc,US,34.6391,-120.4579,63.1,86,1,10.36,clear sky
42,Vestmannaeyjar,IS,63.4427,-20.2734,40.41,82,100,27.2,overcast clouds
43,Santa Marta,CO,11.2408,-74.199,80.65,78,20,4.61,few clouds
44,Busselton,AU,-33.65,115.3333,60.69,46,48,3.44,scattered clouds
45,Bambous Virieux,MU,-20.3428,57.7575,75.22,94,75,3.44,broken clouds
46,Arys,KZ,42.4252,68.795,28.62,36,0,6.24,clear sky
47,Yar-Sale,RU,66.8333,70.8333,25.72,96,100,11.03,overcast clouds
48,Sur,OM,22.5667,59.5289,75.76,53,0,7.2,clear sky
49,Qaanaaq,GL,77.484,-69.3632,11.26,69,98,10.45,overcast clouds
50,Arraial Do Cabo,BR,-22.9661,-42.0278,69.48,80,5,6.6,clear sky
51,Gayeri,BF,12.6497,0.4931,80.83,27,25,5.82,scattered clouds
52,Vaini,TO,-21.2,-175.2,82.56,89,40,10.36,scattered clouds
53,Ceuta,ES,35.8903,-5.3075,55.44,52,0,5.91,clear sky
54,Francistown,BW,-21.17,27.5079,78.06,36,95,6.62,overcast clouds
