City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Padang,ID,-0.9492,100.3543,77.05,85,100,3.76,overcast clouds
1,Castro,BR,-24.7911,-50.0119,64.04,85,99,0.78,overcast clouds
2,Carutapera,BR,-1.195,-46.02,77.07,91,100,5.66,overcast clouds
3,Jamestown,US,42.097,-79.2353,39.72,82,5,1.01,clear sky
4,Yellowknife,CA,62.456,-114.3525,28.42,100,90,10.36,overcast clouds
5,Faanui,PF,-16.4833,-151.75,79.07,75,26,7.85,light rain
6,Yinchuan,CN,38.4681,106.2731,29.46,64,100,7.56,snow
7,Lorengau,PG,-2.0226,147.2712,85.68,67,84,8.21,broken clouds
8,Chicama,PE,-7.8447,-79.1469,66.11,82,66,6.53,broken clouds
9,Taman,RU,45.2117,36.7161,46.72,83,45,6.24,scattered clouds
10,Cayenne,GF,4.9333,-52.3333,81.09,87,20,1.01,light rain
11,Mataura,NZ,-46.1927,168.8643,66.47,35,100,4.16,overcast clouds
12,Albany,US,42.6001,-73.9662,37.92,79,0,4.59,clear sky
13,Saskylakh,RU,71.9167,114.0833,-2.96,91,96,17.63,overcast clouds
14,Victoria,HK,22.2855,114.1577,80.65,86,1,1.01,clear sky
15,Rikitea,PF,-23.1203,-134.9692,75.02,78,97,11.68,light rain
16,Pionerskiy,RU,54.9508,20.2275,48.04,84,100,28.41,overcast clouds
17,College,US,64.8569,-147.8028,24.66,85,100,2.19,light snow
18,Arraial Do Cabo,BR,-22.9661,-42.0278,70.0,80,4,7.29,clear sky
19,Toledo,ES,39.8333,-4.0,42.12,72,7,10.11,clear sky
20,Talnakh,RU,69.4865,88.3972,-8.9,100,93,3.56,overcast clouds
21,Lebu,CL,-37.6167,-73.65,52.48,88,0,17.2,clear sky
22,Vestmanna,FO,62.1564,-7.1664,38.32,93,90,1.14,overcast clouds
23,Cilegon,ID,-6.0174,106.0538,82.29,70,100,3.58,overcast clouds
24,Barrow,US,71.2906,-156.7887,21.02,89,100,24.52,overcast clouds
25,Kodiak,US,57.79,-152.4072,36.39,74,96,5.91,overcast clouds
26,Kuusankoski,FI,60.907,26.6244,39.72,99,90,9.22,overcast clouds
27,Nosy Varika,MG,-20.5833,48.5333,71.04,93,100,8.46,light rain
28,Atuona,PF,-9.8,-139.0333,78.57,70,3,15.9,clear sky
29,East London,ZA,-33.0153,27.9116,64.72,87,100,12.44,light rain
30,Powell River,CA,49.8496,-124.5361,46.0,85,59,8.88,broken clouds
31,Leningradskiy,RU,69.3833,178.4167,-10.73,96,30,5.53,scattered clouds
32,Conceicao Do Araguaia,BR,-8.2578,-49.2647,76.55,81,76,2.55,broken clouds
33,Fukue,JP,32.6881,128.8419,65.82,63,100,8.75,light rain
34,Sao Filipe,CV,14.8961,-24.4956,79.38,72,85,6.44,overcast clouds
35,Katsuura,JP,35.1333,140.3,67.19,57,6,12.33,clear sky
36,Iwanai,JP,42.9744,140.5089,52.86,60,0,0.11,clear sky
37,Punta Arenas,CL,-53.15,-70.9167,51.91,62,75,25.32,broken clouds
38,Saint George,US,37.1041,-113.5841,71.35,30,0,1.43,clear sky
39,Cape Town,ZA,-33.9258,18.4232,57.11,86,4,6.93,clear sky
40,Turayf,SA,31.6725,38.6637,60.57,47,0,7.99,clear sky
41,Paramonga,PE,-10.6667,-77.8333,64.65,87,100,8.75,overcast clouds
42,Tual,ID,-5.6667,132.75,83.75,73,98,4.29,overcast clouds
43,Khatanga,RU,71.9667,102.5,2.97,95,100,18.41,light snow
44,Port Elizabeth,ZA,-33.918,25.5701,61.21,81,100,7.11,overcast clouds
45,Lompoc,US,34.6391,-120.4579,67.01,80,1,11.01,clear sky
46,Dikson,RU,73.5069,80.5464,19.04,92,100,14.65,overcast clouds
47,Hasaki,JP,35.7333,140.8333,63.28,57,2,12.93,clear sky
48,Airai,TL,-8.9266,125.4092,75.34,54,84,2.42,broken clouds
49,Madimba,TZ,-10.4,40.3333,74.91,86,5,1.81,clear sky
50,Bengkulu,ID,-3.8004,102.2655,76.06,88,100,7.34,overcast clouds
51,Hermanus,ZA,-34.4187,19.2345,56.89,76,17,5.19,few clouds
52,Harper,LR,4.375,-7.7169,78.28,87,99,7.83,overcast clouds
53,Bethel,US,41.3712,-73.414,43.81,72,0,3.91,clear sky
54,Vao,NC,-22.6667,167.4833,68.88,61,100,9.28,overcast clouds
55,Grindavik,IS,63.8424,-22.4338,37.87,87,0,14.97,clear sky
56,Hithadhoo,MV,-0.6,73.0833,80.38,78,100,16.33,heavy intensity rain
57,Port Shepstone,ZA,-30.7414,30.455,69.87,77,99,12.21,overcast clouds
58,Sai Buri,TH,6.7013,101.6168,78.96,83,100,5.3,overcast clouds
59,Bredasdorp,ZA,-34.5322,20.0403,49.32,81,46,4.61,scattered clouds
60,Shenzhen,CN,22.5455,114.0683,80.55,91,3,3.04,clear sky
61,Port Blair,IN,11.6667,92.75,80.65,80,96,5.5,overcast clouds
62,Vaini,TO,-21.2,-175.2,82.56,89,20,9.22,few clouds
63,Ahipara,NZ,-35.1667,173.1667,64.81,80,57,5.66,broken clouds
64,Sibolga,ID,1.7427,98.7792,77.36,84,100,0.85,overcast clouds
65,Qaanaaq,GL,77.484,-69.3632,10.8,69,98,11.03,overcast clouds
66,Koundara,GN,12.4833,-13.3,77.49,73,3,2.95,clear sky
67,Bluff,NZ,-46.6,168.3333,66.79,65,100,10.76,overcast clouds
68,Hornepayne,CA,49.2138,-84.7705,41.32,77,100,12.8,overcast clouds
69,Avarua,CK,-21.2078,-159.775,78.85,65,95,10.36,overcast clouds
70,Busselton,AU,-33.65,115.3333,58.05,54,45,6.06,scattered clouds
71,Nikolskoye,RU,59.7035,30.7861,44.87,82,100,8.61,overcast clouds
72,Codrington,AU,-38.2667,141.9667,62.94,88,100,12.35,light rain
73,Concepcion,CL,-36.827,-73.0498,57.0,77,0,11.5,clear sky
74,Sitka,US,57.0531,-135.33,42.01,92,89,6.69,moderate rain
75,Synya,RU,65.3718,58.0387,34.56,98,100,12.73,light rain
76,Tajao,PH,10.3148,123.5835,83.59,75,93,2.71,overcast clouds
77,Hobart,AU,-42.8794,147.3294,72.05,62,75,1.99,light rain
78,Bilibino,RU,68.0546,166.4372,-11.69,99,71,4.18,broken clouds
79,West Wendover,US,40.7391,-114.0733,53.91,53,100,2.57,overcast clouds
80,New Norfolk,AU,-42.7826,147.0587,71.71,58,100,1.99,moderate rain
81,Bintulu,MY,3.1667,113.0333,78.62,89,100,4.59,overcast clouds
82,Trairi,BR,-3.2778,-39.2689,80.11,79,100,8.57,overcast clouds
83,Bandarbeyla,SO,9.4942,50.8122,75.92,77,0,6.38,clear sky
84,Nome,US,64.5011,-165.4064,26.67,81,90,18.41,overcast clouds
85,Upernavik,GL,72.7868,-56.1549,11.44,69,12,6.35,few clouds
86,Biak,ID,-0.9131,122.8766,83.23,70,58,1.23,broken clouds
87,Rognan,NO,67.0953,15.3878,37.89,90,100,7.76,overcast clouds
88,Fairbanks,US,64.8378,-147.7164,23.59,85,100,2.3,light snow
89,Kamiiso,JP,41.8167,140.65,53.62,66,21,2.01,few clouds
90,San Quintin,MX,30.4833,-115.95,65.39,83,6,6.53,clear sky
91,Matara,LK,5.9485,80.5353,76.84,89,67,8.05,broken clouds
92,Nanortalik,GL,60.1432,-45.2371,30.78,79,92,4.99,overcast clouds
93,Ayorou,NE,14.7308,0.9174,86.14,19,0,7.27,clear sky
94,Jacareacanga,BR,-6.2222,-57.7528,75.16,83,86,1.5,overcast clouds
95,Souillac,MU,-20.5167,57.5167,71.37,82,49,8.55,scattered clouds
96,Bahile,PH,9.9995,118.7878,82.67,79,100,6.15,overcast clouds
97,Port Augusta,AU,-32.5,137.7667,89.71,30,8,19.86,clear sky
98,Labuhan,ID,-6.8844,112.2051,84.43,72,100,6.73,overcast clouds
99,Ushuaia,AR,-54.8,-68.3,53.26,43,40,16.11,scattered clouds
100,Kathmandu,NP,27.7167,85.3167,50.22,100,20,2.3,mist
101,Merritt Island,US,28.5392,-80.672,70.09,91,90,18.01,overcast clouds
